Brand,Model,Year,VehicleAge,UsedOrNew,Transmission,DriveType,FuelType,EngineSizeL,Cylinders,FuelConsumption_L100km,Kilometres,ExteriorColour,InteriorColour,State,BodyType,Doors,Seats,Price,PricePerYearAge
Toyota,Kluger,2008,15,USED,Automatic,Front,Unleaded,3.5,6.0,11.0,132864.0,Blue,Black,NSW,SUV,4.0,7.0,19880.0,1325.3333333333333
Hyundai,Santa,2018,5,USED,Automatic,AWD,Diesel,2.2,4.0,7.8,71655.0,White,Black,NSW,SUV,4.0,7.0,43999.0,8799.8
BMW,X3,2012,11,USED,Automatic,4WD,Diesel,2.0,4.0,5.6,109459.0,Black,,NSW,SUV,4.0,5.0,18888.0,1717.090909090909
Holden,Cascada,2016,7,USED,Automatic,Front,Premium,1.6,4.0,7.5,65361.0,Silver,Black Leather,NSW,Convertible,2.0,4.0,24995.0,3570.714285714286
Mercedes-Benz,ML320,2006,17,USED,Automatic,4WD,Diesel,3.0,6.0,9.6,212953.0,Silver,,NSW,SUV,4.0,5.0,9998.0,588.1176470588235
Mitsubishi,Lancer,2009,14,USED,Automatic,Front,Unleaded,2.0,4.0,8.2,163012.0,Red,,NSW,Sedan,4.0,5.0,9990.0,713.5714285714286
Audi,A5,2014,9,USED,Automatic,AWD,Premium,2.0,4.0,6.7,82119.0,White,Black,NSW,Coupe,2.0,4.0,27380.0,3042.222222222222
Kia,RIO,2018,5,USED,Automatic,Front,Unleaded,1.0,3.0,5.4,42071.0,Red,Black,NSW,Hatchback,5.0,5.0,24999.0,4999.8
Jeep,Cherokee,2015,8,USED,Automatic,4WD,Unleaded,3.2,6.0,10.0,85958.0,Red,Black Cloth,NSW,SUV,4.0,5.0,17999.0,2249.875
Volkswagen,Tiguan,2011,12,USED,Automatic,AWD,Premium,2.0,4.0,8.8,118642.0,Black,,NSW,SUV,4.0,5.0,12990.0,1082.5
Mitsubishi,ASX,2012,11,USED,Automatic,Front,Unleaded,2.0,4.0,7.9,187265.0,Blue,,NSW,SUV,4.0,5.0,13990.0,1271.8181818181818
BMW,220I,2016,7,USED,Automatic,Rear,Premium,2.0,4.0,6.4,118120.0,Grey,Black,NSW,Convertible,2.0,4.0,28990.0,4141.428571428572
Hyundai,Tucson,2022,1,USED,Automatic,Front,Unleaded,2.0,4.0,8.1,19978.0,White,,NSW,SUV,4.0,5.0,36800.0,36800.0
Mazda,3,2011,12,USED,Automatic,Front,Unleaded,2.0,4.0,8.2,86804.0,Grey,Grey,NSW,Sedan,4.0,5.0,13999.0,1166.5833333333333
Volkswagen,Tiguan,2023,0,NEW,Automatic,AWD,Premium,2.0,4.0,8.9,15.0,Black,Storm Grey,NSW,SUV,4.0,7.0,56887.0,56887.0
Hyundai,Imax,2014,9,USED,Automatic,Rear,Diesel,2.5,4.0,9.0,183550.0,White,Grey  Cloth,NSW,Wagon,4.0,8.0,19888.0,2209.777777777778
Toyota,Yaris,2014,9,USED,Automatic,Front,Unleaded,1.3,4.0,6.3,191748.0,Green,Black,NSW,Hatchback,5.0,5.0,8995.0,999.4444444444445
Toyota,Kluger,2016,7,USED,Automatic,Front,Unleaded,3.5,6.0,10.4,139637.0,Grey,Black,NSW,SUV,4.0,7.0,31900.0,4557.142857142857
Mitsubishi,Lancer,2013,10,USED,Automatic,Front,Unleaded,2.0,4.0,7.2,165306.0,Grey,Black,NSW,Sedan,4.0,5.0,14995.0,1499.5
Subaru,XV,2016,7,USED,Automatic,AWD,Unleaded,2.0,4.0,7.1,104887.0,Grey,Black,NSW,SUV,4.0,5.0,22990.0,3284.285714285714
Mini,Cooper,2017,6,USED,Automatic,Front,Premium,2.0,4.0,5.5,72501.0,Yellow,,NSW,Hatchback,5.0,5.0,31990.0,5331.666666666667
Peugeot,308,2015,8,USED,Automatic,Other,Unleaded,,,,167127.0,White,,NSW,Hatchback,,,12999.0,1624.875
Holden,Commodore,2010,13,USED,Manual,Rear,Unleaded,6.0,8.0,14.5,169220.0,Black,,NSW,Ute / Tray,2.0,2.0,25999.0,1999.923076923077
Hyundai,I20,2015,8,USED,Automatic,Front,Unleaded,1.4,4.0,5.9,111783.0,Silver,Grey,NSW,Hatchback,5.0,5.0,13990.0,1748.75
Mazda,BT-50,2018,5,USED,Automatic,Rear,Diesel,3.2,5.0,9.3,97460.0,White,Grey,NSW,Ute / Tray,4.0,5.0,30990.0,6198.0
Mazda,3,2009,14,USED,Automatic,Front,Unleaded,2.0,4.0,8.2,178389.0,Black,,NSW,Sedan,4.0,5.0,8499.0,607.0714285714286
Hyundai,I20,2011,12,USED,Automatic,Front,Unleaded,1.4,4.0,6.4,188262.0,Blue,,NSW,Hatchback,5.0,5.0,10995.0,916.25
Honda,Vezel,2015,8,USED,Automatic,Other,Unleaded,,,,71059.0,Grey,,NSW,Wagon,,,24888.0,3111.0
Mazda,CX-7,2010,13,USED,Automatic,AWD,Unleaded,2.3,4.0,11.5,152831.0,Black,Leather,NSW,SUV,4.0,5.0,11669.0,897.6153846153846
Jeep,Renegade,2017,6,USED,Automatic,Front,Premium,1.4,4.0,5.9,69218.0,Grey,Black,NSW,SUV,4.0,5.0,24950.0,4158.333333333333
Mazda,6,2013,10,USED,Automatic,Front,Unleaded,2.5,4.0,6.6,124093.0,White,,NSW,Sedan,4.0,5.0,16990.0,1699.0
Nissan,Elgrand,2009,14,USED,Automatic,Rear,Unleaded,,,,103090.0,White,Brown,NSW,Wagon,,,19995.0,1428.2142857142858
Kia,Grand,2013,10,USED,Automatic,Front,Unleaded,3.5,6.0,10.9,98672.0,White,,NSW,Wagon,4.0,8.0,13995.0,1399.5
Mitsubishi,Lancer,2015,8,USED,Automatic,Front,Unleaded,2.0,4.0,7.2,61481.0,Grey,Black,NSW,Sedan,4.0,5.0,17995.0,2249.375
Subaru,Impreza,2018,5,USED,Automatic,AWD,Unleaded,2.0,4.0,6.6,61177.0,Grey,,NSW,Hatchback,5.0,5.0,22990.0,4598.0
Mazda,3,2014,9,USED,Automatic,Front,Unleaded,2.0,4.0,8.2,132648.0,Red,Black  Cloth,NSW,Hatchback,5.0,5.0,16999.0,1888.7777777777778
BMW,X4,2021,2,USED,Automatic,AWD,Unleaded,2.0,4.0,7.3,31367.0,Grey,,NSW,SUV,5.0,5.0,79988.0,39994.0
Mazda,CX-7,2010,13,USED,Automatic,AWD,Unleaded,2.3,4.0,11.5,174818.0,Red,,NSW,SUV,4.0,5.0,12800.0,984.6153846153846
Audi,A5,2015,8,USED,Automatic,AWD,Premium,2.0,4.0,6.7,115334.0,Grey,Black,NSW,Coupe,2.0,4.0,26880.0,3360.0
